#Ensembl.ID	Symbol
ENSGALG00000045540	ENSGALG00000045540
ENSGALG00000031626	LOC430443
ENSGALG00000038274	LOC107053049
ENSGALG00000041494	GOLGB1
ENSGALG00000039682	HCLS1
ENSGALG00000038044	NME6
ENSGALG00000032458	RABL2L
ENSGALG00000034366	ACR
ENSGALG00000035824	ARSA
ENSGALG00000033919	ENSGALG00000033919
ENSGALG00000034440	MIR6708
ENSGALG00000038707	MIR1604
ENSGALG00000039165	ENSGALG00000039165
ENSGALG00000043476	ARF5
ENSGALG00000033149	GCC1
ENSGALG00000043771	DENND6B
ENSGALG00000029341	PPP6R2
ENSGALG00000035085	MIR1651
ENSGALG00000043178	SBF1
ENSGALG00000044050	ENSGALG00000044050
ENSGALG00000041965	MIOX
ENSGALG00000041528	LMF2
ENSGALG00000034272	ENSGALG00000034272
ENSGALG00000013811	ENSGALG00000013811
ENSGALG00000039982	IRF5
ENSGALG00000039420	TNPO3
ENSGALG00000036114	SMO
ENSGALG00000032868	AHCYL2
ENSGALG00000038520	STRIP2
ENSGALG00000041065	SMKR1
ENSGALG00000040060	NRF1
ENSGALG00000024492	MIR183
ENSGALG00000031975	UBE2H
ENSGALG00000008003	ZC3HC1
ENSGALG00000027129	MIR6676
ENSGALG00000008013	KLHDC10
ENSGALG00000028816	MIR6629
ENSGALG00000036140	LOC100859230
ENSGALG00000045035	ENSGALG00000045035
ENSGALG00000008036	TMEM209
ENSGALG00000023942	ENSGALG00000023942
ENSGALG00000008048	CPA2
ENSGALG00000027296	CPA5
ENSGALG00000008087	CPA1
ENSGALG00000008103	CEP41
ENSGALG00000008111	MEST
ENSGALG00000008144	COPG2
ENSGALG00000008153	IL15RA
ENSGALG00000008162	FBXO18
ENSGALG00000008168	ANKRD16
ENSGALG00000008169	GDI2
ENSGALG00000039639	ENSGALG00000039639
ENSGALG00000008401	ASB13
ENSGALG00000008424	CALML3
ENSGALG00000008437	NET1
ENSGALG00000008444	TUBAL3
ENSGALG00000032978	UCN3
ENSGALG00000018270	MIR205B
ENSGALG00000038187	SLC35B4
ENSGALG00000037842	LRGUK
ENSGALG00000008477	EXOC4
ENSGALG00000045957	ENSGALG00000045957
ENSGALG00000045303	ENSGALG00000045303
ENSGALG00000045493	ENSGALG00000045493
ENSGALG00000028216	MIR6659
ENSGALG00000046002	ENSGALG00000046002
ENSGALG00000045694	ENSGALG00000045694
ENSGALG00000045599	ENSGALG00000045599
ENSGALG00000045725	ENSGALG00000045725
ENSGALG00000006489	CHCHD3
ENSGALG00000006473	PLXNA4
ENSGALG00000027460	MIR6621
ENSGALG00000006409	PODXL
ENSGALG00000006356	MKLN1
ENSGALG00000044853	ENSGALG00000044853
ENSGALG00000018236	MIR29B1
ENSGALG00000018235	MIR29A
ENSGALG00000041978	K123
ENSGALG00000042471	IL2RA
ENSGALG00000034696	ENSGALG00000034696
ENSGALG00000006332	RBM17
ENSGALG00000040369	PFKFB3
ENSGALG00000034970	PRKCQ
ENSGALG00000009279	SFMBT2
ENSGALG00000045751	ENSGALG00000045751
ENSGALG00000045088	ENSGALG00000045088
ENSGALG00000046301	ENSGALG00000046301
ENSGALG00000046451	ENSGALG00000046451
ENSGALG00000046295	ENSGALG00000046295
ENSGALG00000045491	ENSGALG00000045491
ENSGALG00000029446	LOC419112
ENSGALG00000006891	ITIH5
ENSGALG00000006833	ITIH2
ENSGALG00000030702	KIN
ENSGALG00000006753	ATP5C1
ENSGALG00000006731	TAF3
ENSGALG00000029270	GATA3
ENSGALG00000034590	CELF2
ENSGALG00000025441	MIR1626
ENSGALG00000025473	MIR1596
ENSGALG00000035563	USP6NL
ENSGALG00000006690	ECHDC3
ENSGALG00000006700	PROSER2
ENSGALG00000033772	UPF2
ENSGALG00000003674	DHTKD1
ENSGALG00000036300	SEC61A2
ENSGALG00000013967	NUDT5
ENSGALG00000014038	CDC123
ENSGALG00000033051	CAMK1D
ENSGALG00000030140	CCDC3
ENSGALG00000013738	OPTN
ENSGALG00000034198	MCM10
ENSGALG00000035636	PHYH
ENSGALG00000014575	SEPHS1
ENSGALG00000006682	BEND7
ENSGALG00000043593	PRPF18
ENSGALG00000034992	FRMD4A
ENSGALG00000025161	MIR1460
ENSGALG00000033226	FAM107B
ENSGALG00000027979	ENSGALG00000027979
ENSGALG00000035201	HSPA14
ENSGALG00000013920	SUV39H2
ENSGALG00000013926	DCLRE1C
ENSGALG00000000451	MEIG1
ENSGALG00000006633	TMEM243
ENSGALG00000030844	DMTF1
ENSGALG00000033788	uc_338
ENSGALG00000030324	KIAA1324L
ENSGALG00000006576	GRM3
ENSGALG00000046227	ENSGALG00000046227
ENSGALG00000006563	SEMA3D
ENSGALG00000006560	SEMA3A
ENSGALG00000038225	SEMA3E
ENSGALG00000037435	ENSGALG00000037435
ENSGALG00000039659	PCLO
ENSGALG00000040151	ENSGALG00000040151
ENSGALG00000034492	ENSGALG00000034492
ENSGALG00000039355	ENSGALG00000039355
ENSGALG00000008486	CACNA2D1
ENSGALG00000033974	HGF
ENSGALG00000042096	
ENSGALG00000040444	SEMA3C
ENSGALG00000008439	CD36
ENSGALG00000008427	GNAT3
ENSGALG00000008382	GNAI1
ENSGALG00000033870	ENSGALG00000033870
ENSGALG00000038834	MAGI2
ENSGALG00000041737	ENSGALG00000041737
ENSGALG00000008353	ENSGALG00000008353
ENSGALG00000008335	PHTF2
ENSGALG00000008330	TMEM60
ENSGALG00000008328	RSBN1L
ENSGALG00000038546	ENSGALG00000038546
ENSGALG00000008322	ENSGALG00000008322
ENSGALG00000042569	ENSGALG00000042569
ENSGALG00000008312	GSAP
ENSGALG00000046379	ENSGALG00000046379
ENSGALG00000008309	ENSGALG00000008309
ENSGALG00000008306	FGL2
ENSGALG00000008301	FAM185A
ENSGALG00000045817	FBXL13
ENSGALG00000008298	LRRC17
ENSGALG00000008288	ARMC10
ENSGALG00000008285	NAPEPLD
ENSGALG00000008280	PMPCB
ENSGALG00000008249	DNAJC2
ENSGALG00000008236	PSMC2
ENSGALG00000008222	SLC26A5
ENSGALG00000008193	RELN
ENSGALG00000008175	ORC5
ENSGALG00000043367	LHFPL3
ENSGALG00000034533	ENSGALG00000034533
ENSGALG00000008167	KMT2E
ENSGALG00000008154	SRPK2
ENSGALG00000008132	PUS7
ENSGALG00000008123	RINT1
ENSGALG00000028868	ENSGALG00000028868
ENSGALG00000045949	EFCAB10
ENSGALG00000008115	ATXN7L1
ENSGALG00000008109	CDHR3
ENSGALG00000029006	SYPL1
ENSGALG00000008098	NAMPT
ENSGALG00000031636	ENSGALG00000031636
ENSGALG00000008081	PIK3CG
ENSGALG00000008060	PRKAR2B
ENSGALG00000008050	HBP1
ENSGALG00000042764	COG5
ENSGALG00000008032	GPR22
ENSGALG00000023661	DUS4L
ENSGALG00000025647	MIR2126
ENSGALG00000008009	BCAP29
ENSGALG00000007998	SLC26A4
ENSGALG00000038981	CBLL1
ENSGALG00000007959	SLC26A3
ENSGALG00000007931	DLD
ENSGALG00000007905	LAMB1
ENSGALG00000007917	LAMB4
ENSGALG00000007183	ERGIC2
ENSGALG00000007161	LRRK2
ENSGALG00000035940	SLC2A13
ENSGALG00000037754	ENSGALG00000037754
ENSGALG00000044979	ENSGALG00000044979
ENSGALG00000038806	ENSGALG00000038806
ENSGALG00000042554	ABCD2
ENSGALG00000036458	ENSGALG00000036458
ENSGALG00000042244	ENSGALG00000042244
ENSGALG00000007098	KIF21A
ENSGALG00000043872	SIIL
ENSGALG00000007025	CPNE8
ENSGALG00000040272	ALG10
ENSGALG00000013018	TPRKB
ENSGALG00000004897	GTSE1
ENSGALG00000031922	TRMU
ENSGALG00000043355	CELSR1
ENSGALG00000038315	HIST1H2B5L
ENSGALG00000035169	ENSGALG00000035169
ENSGALG00000034274	GRAMD4
ENSGALG00000044947	ENSGALG00000044947
ENSGALG00000046441	ENSGALG00000046441
ENSGALG00000019397	CERK
ENSGALG00000043058	TBC1D22A
ENSGALG00000042092	ENSGALG00000042092
ENSGALG00000023584	FAM19A5
ENSGALG00000044747	ENSGALG00000044747
ENSGALG00000039093	ENSGALG00000039093
ENSGALG00000026681	ENSGALG00000026681
ENSGALG00000028811	ENSGALG00000028811
ENSGALG00000039992	ENSGALG00000039992
ENSGALG00000036810	ENSGALG00000036810
ENSGALG00000031938	ENSGALG00000031938
ENSGALG00000029379	BRD1
ENSGALG00000032659	ZBED4
ENSGALG00000027708	ENSGALG00000027708
ENSGALG00000008539	ALG12
ENSGALG00000008551	CRELD2
ENSGALG00000023576	PIM3
ENSGALG00000008554	IL17REL
ENSGALG00000040038	MLC1
ENSGALG00000033664	MOV10L1
ENSGALG00000000003	PANX2
ENSGALG00000030705	TRABD
ENSGALG00000041357	ENSGALG00000041357
ENSGALG00000038467	SELENOO
ENSGALG00000032156	TUBGCP6
ENSGALG00000041251	HDAC10
ENSGALG00000008635	LOC417741
ENSGALG00000019384	MAPK12
ENSGALG00000040023	MAPK11
ENSGALG00000037120	ENSGALG00000037120
ENSGALG00000039861	PLXNB2
ENSGALG00000043501	MIR1693
ENSGALG00000033997	ZNF800
ENSGALG00000039403	GRM8
ENSGALG00000025697	U1
ENSGALG00000038827	ENSGALG00000038827
ENSGALG00000008740	POT1
ENSGALG00000040954	GPR37
ENSGALG00000038679	ENSGALG00000038679
ENSGALG00000031527	ARL8BL
ENSGALG00000008761	SPAM1
ENSGALG00000037808	ENSGALG00000037808
ENSGALG00000008776	HYAL6
ENSGALG00000008797	WASL
ENSGALG00000038974	ENSGALG00000038974
ENSGALG00000008805	LMOD2
ENSGALG00000008814	ASB15
ENSGALG00000008821	NDUFA5
ENSGALG00000028064	ENSGALG00000028064
ENSGALG00000008823	IQUB
ENSGALG00000008836	ATP6AP1
ENSGALG00000008874	SLC13A1
ENSGALG00000008926	CADPS2
ENSGALG00000008941	FEZF1
ENSGALG00000008953	AASS
ENSGALG00000040114	PTPRZ1
ENSGALG00000026138	ENSGALG00000026138
ENSGALG00000025193	7SK
ENSGALG00000008975	FAM3C
ENSGALG00000028069	WNT16
ENSGALG00000032262	ENSGALG00000032262
ENSGALG00000009002	CPED1
ENSGALG00000025216	MIR1645
ENSGALG00000009023	ING3
ENSGALG00000009029	TSPAN12
ENSGALG00000043515	ENSGALG00000043515
ENSGALG00000009066	KCND2
ENSGALG00000036488	ENSGALG00000036488
ENSGALG00000032302	ENSGALG00000032302
ENSGALG00000009104	ANKRD26
ENSGALG00000009110	LSM8
ENSGALG00000035009	
ENSGALG00000009134	CTTNBP2
ENSGALG00000032986	CFTR
ENSGALG00000034574	ASZ1
ENSGALG00000030173	WNT2
ENSGALG00000037206	ST7
ENSGALG00000028180	ST7-OT3_2
ENSGALG00000043437	CAPZA2
ENSGALG00000036883	MET
ENSGALG00000043287	CAV1
ENSGALG00000033295	CAV2
ENSGALG00000031934	TES
ENSGALG00000040557	TFEC
ENSGALG00000038090	ENSGALG00000038090
ENSGALG00000026838	MDFIC
ENSGALG00000009424	FOXP2
ENSGALG00000029796	ENSGALG00000029796
ENSGALG00000009435	PPP1R3A
ENSGALG00000009439	GPR85
ENSGALG00000025332	MIR1695
ENSGALG00000009440	BMT2
ENSGALG00000009443	TMEM168
ENSGALG00000033415	LOC107052883
ENSGALG00000009446	LSMEM1
ENSGALG00000009448	IFRD1
ENSGALG00000009454	ZNF277
ENSGALG00000009480	DOCK4
ENSGALG00000009485	IMMP2L
ENSGALG00000009488	LRRN3
ENSGALG00000027876	IMMP2L
ENSGALG00000029421	ENSGALG00000029421
ENSGALG00000028019	ENSGALG00000028019
ENSGALG00000042296	ENSGALG00000042296
ENSGALG00000009492	DNAJB9
ENSGALG00000009494	THAP5
ENSGALG00000009497	AVPR2
ENSGALG00000009505	PNPLA8
ENSGALG00000009514	NRCAM
ENSGALG00000009523	CNTN1
ENSGALG00000009530	PDZRN4
ENSGALG00000030765	ENSGALG00000030765
ENSGALG00000033978	ENSGALG00000033978
ENSGALG00000009532	GXYLT1
ENSGALG00000040936	ENSGALG00000040936
ENSGALG00000009540	YAF2
ENSGALG00000040505	ENSGALG00000040505
ENSGALG00000009544	ZCRB1
ENSGALG00000009547	PPHLN1
ENSGALG00000009556	PRICKLE1
ENSGALG00000032573	ENSGALG00000032573
ENSGALG00000009572	ADAMTS20
ENSGALG00000009577	PUS7L
ENSGALG00000009586	IRAK4
ENSGALG00000009595	TWF1
ENSGALG00000009596	TMEM117
ENSGALG00000009601	NELL2
ENSGALG00000009603	PRLL
ENSGALG00000009604	DBX2
ENSGALG00000009638	ANO6
ENSGALG00000039562	ENSGALG00000039562
ENSGALG00000033074	ARID2
ENSGALG00000028849	SCAF11
ENSGALG00000009698	SLC38A1
ENSGALG00000008497	SLC38A2
ENSGALG00000025619	U1
ENSGALG00000043800	ENSGALG00000043800
ENSGALG00000009730	SLC38A4
ENSGALG00000009739	AMIGO2
ENSGALG00000009743	RPAP3
ENSGALG00000009747	ATP23
ENSGALG00000009755	LRIG3
ENSGALG00000017893	U6atac
ENSGALG00000037243	ENSGALG00000037243
ENSGALG00000009759	SLC16A7
ENSGALG00000038179	ENSGALG00000038179
ENSGALG00000042870	ENSGALG00000042870
ENSGALG00000019361	FAM19A2
ENSGALG00000030024	USP15
ENSGALG00000009795	MON2
ENSGALG00000018237	MIRLET7I
ENSGALG00000009805	PPM1H
ENSGALG00000040567	AVPR1A
ENSGALG00000009815	TMEM5
ENSGALG00000009825	SRGAP1
ENSGALG00000027682	RPL18A
ENSGALG00000025464	SNORA68
ENSGALG00000009835	XPOT
ENSGALG00000009840	TBK1
ENSGALG00000009842	RASSF3
ENSGALG00000009856	GNS
ENSGALG00000009859	TBC1D30
ENSGALG00000039209	WIF1
ENSGALG00000009873	LEMD3
ENSGALG00000026661	MSRB3
ENSGALG00000009875	HMGA2
ENSGALG00000019358	LLPH
ENSGALG00000009879	TMBIM4
ENSGALG00000035292	ENSGALG00000035292
ENSGALG00000009885	HELB
ENSGALG00000009895	GRIP1
ENSGALG00000033879	CAND1
ENSGALG00000009899	ENSGALG00000009899
ENSGALG00000030452	ENSGALG00000030452
ENSGALG00000009901	DYRK2
ENSGALG00000009903	IFNG
ENSGALG00000037779	IL26
ENSGALG00000009904	IL22
ENSGALG00000009905	MDM1
ENSGALG00000009927	RAP1B
ENSGALG00000009934	NUP107
ENSGALG00000009940	SLC35E3
ENSGALG00000045785	ENSGALG00000045785
ENSGALG00000009942	MDM2
ENSGALG00000040284	ENSGALG00000040284
ENSGALG00000009945	CPM
ENSGALG00000019355	CPSF6
ENSGALG00000034310	ENSGALG00000034310
ENSGALG00000009963	LYZ
ENSGALG00000029135	YEATS4
ENSGALG00000009966	FRS2
ENSGALG00000009975	CCT2
ENSGALG00000009976	LRRC10
ENSGALG00000010018	CTSEAL
ENSGALG00000010029	BEST3
ENSGALG00000009959	RAB3IP
ENSGALG00000019352	MYRFL
ENSGALG00000010042	CNOT2
ENSGALG00000010044	KCNMB4
ENSGALG00000010049	PTPRB
ENSGALG00000040855	PTPRR
ENSGALG00000010148	PTPRR
ENSGALG00000038699	ENSGALG00000038699
ENSGALG00000010152	TSPAN8
ENSGALG00000010163	LGR5
ENSGALG00000010177	ZFC3H1
ENSGALG00000038456	ENSGALG00000038456
ENSGALG00000041783	TMEM19
ENSGALG00000010183	RAB21
ENSGALG00000010190	TBC1D15
ENSGALG00000010198	TPH2
ENSGALG00000010200	TRHDE
ENSGALG00000010204	KCNC2
ENSGALG00000010208	CAPS2
ENSGALG00000021897	CCDC107
ENSGALG00000010222	ENSGALG00000010222
ENSGALG00000010223	GLIPR1
ENSGALG00000010224	GLIPR1L
ENSGALG00000010227	KRR1
ENSGALG00000039582	
ENSGALG00000034788	PHLDA1
ENSGALG00000010238	NAP1L1
ENSGALG00000033769	BBS10
ENSGALG00000010246	OSBPL8
ENSGALG00000010253	ZDHHC17
ENSGALG00000029921	CSRP2
ENSGALG00000031340	E2F7
ENSGALG00000034552	ENSGALG00000034552
ENSGALG00000010311	NAV3
ENSGALG00000035278	ENSGALG00000035278
ENSGALG00000041094	SYT1
ENSGALG00000010320	PAWR
ENSGALG00000010325	PPP1R12A
ENSGALG00000026490	RPS16
ENSGALG00000010342	OTOGL
ENSGALG00000010935	PTPRQ
ENSGALG00000010936	MYF6
ENSGALG00000028091	MYF5
ENSGALG00000034593	ENSGALG00000034593
ENSGALG00000010939	LIN7A
ENSGALG00000010940	ACSS3
ENSGALG00000010958	PPFIA2
ENSGALG00000044160	ENSGALG00000044160
ENSGALG00000028648	CCDC59
ENSGALG00000042269	METTL25
ENSGALG00000010975	TMTC2
ENSGALG00000010992	SLC6A15
ENSGALG00000027103	TSPAN19
ENSGALG00000044478	LRRIQ1
ENSGALG00000031868	ENSGALG00000031868
ENSGALG00000027213	ALX1
ENSGALG00000027633	RASSF9
ENSGALG00000027192	NTS
ENSGALG00000028360	MGAT4C
ENSGALG00000032083	ENSGALG00000032083
ENSGALG00000045093	C1H12orf50
ENSGALG00000011168	C1H12orf29
ENSGALG00000011177	CEP290
ENSGALG00000033106	TMTC3
ENSGALG00000011198	ENSGALG00000011198
ENSGALG00000011206	KITLG
ENSGALG00000011207	DUSP6
ENSGALG00000035493	POC1B
ENSGALG00000030550	ATP2B1
ENSGALG00000011269	EPYC
ENSGALG00000011270	KERA
ENSGALG00000011271	LUM
ENSGALG00000011274	DCN
ENSGALG00000038077	ENSGALG00000038077
ENSGALG00000011276	BTG1
ENSGALG00000011277	PLEKHG7
ENSGALG00000011280	EEA1
ENSGALG00000011285	NUDT4
ENSGALG00000033904	ENSGALG00000033904
ENSGALG00000030515	UBE2N
ENSGALG00000011293	MRPL42
ENSGALG00000011295	SOCS2
ENSGALG00000011297	CRADD
ENSGALG00000042799	ENSGALG00000042799
ENSGALG00000011309	PLXNC1
ENSGALG00000019336	CEP83
ENSGALG00000011320	MIR7844
ENSGALG00000011323	SNAPC3
ENSGALG00000011325	NDUFA12
ENSGALG00000011327	NR2C1
ENSGALG00000011342	FGD6
ENSGALG00000011357	VEZT
ENSGALG00000011377	METAP2
ENSGALG00000011400	USP44
ENSGALG00000011406	NTN4
ENSGALG00000011409	SNRPF
ENSGALG00000011414	AMDHD1
ENSGALG00000011421	HAL
ENSGALG00000033709	LTA4H
ENSGALG00000033617	LOC769175
ENSGALG00000043701	ELK3
ENSGALG00000011456	CDK17
ENSGALG00000011459	ENSGALG00000011459
ENSGALG00000030853	ENSGALG00000030853
ENSGALG00000038442	ENSGALG00000038442
ENSGALG00000031699	NEDD1
ENSGALG00000025410	MIR1691
ENSGALG00000025889	RMST_6
ENSGALG00000026407	RMST_7
ENSGALG00000029125	RMST_8
ENSGALG00000026453	RMST_9
ENSGALG00000018238	MIR135A2
ENSGALG00000042203	ENSGALG00000042203
ENSGALG00000019331	ENSGALG00000019331
ENSGALG00000011504	TMPO
ENSGALG00000011514	SLC25A3
ENSGALG00000024964	SNORA53
ENSGALG00000030047	ENSGALG00000030047
ENSGALG00000026284	IKBIP
ENSGALG00000011531	APAF1
ENSGALG00000011549	ANKS1B
ENSGALG00000040976	ACTR6
ENSGALG00000011557	UHRF1BP1L
ENSGALG00000011569	SCYL2
ENSGALG00000041122	SLC17A8
ENSGALG00000011594	NR1H4
ENSGALG00000028373	GAS2L3
ENSGALG00000011614	ANO4
ENSGALG00000043091	ENSGALG00000043091
ENSGALG00000011633	SLC5A8
ENSGALG00000011643	UTP20
ENSGALG00000011651	ARL1
ENSGALG00000011662	NUP205
ENSGALG00000011682	CNOT4
ENSGALG00000032089	ENSGALG00000032089
ENSGALG00000011717	LOC417937
ENSGALG00000011722	STRA8
ENSGALG00000011724	WDR91
ENSGALG00000044155	TMEM140
ENSGALG00000011727	AGBL3
ENSGALG00000025735	PDE6H
ENSGALG00000011738	ARHGDIB
ENSGALG00000011739	ERP27
ENSGALG00000011740	MGP
ENSGALG00000028560	OC3
ENSGALG00000011742	ART4
ENSGALG00000011743	SMCO3
ENSGALG00000011745	WBP11
ENSGALG00000039794	ENSGALG00000039794
ENSGALG00000011747	HISTH1
ENSGALG00000039722	HIST1H2B7
ENSGALG00000033191	ENSGALG00000033191
ENSGALG00000032272	HIST1H4D
ENSGALG00000043062	HIST1H3G
ENSGALG00000040303	HIST2H3A
ENSGALG00000035445	HIST1H46L2
ENSGALG00000036483	ENSGALG00000036483
ENSGALG00000030658	ENSGALG00000030658
ENSGALG00000031571	HISTH2A4L1
ENSGALG00000030567	HIST1H2B8
ENSGALG00000038969	HIST2H3L
ENSGALG00000038516	ENSGALG00000038516
ENSGALG00000032198	HIST2H4B
ENSGALG00000036908	HSTH2B7
ENSGALG00000037322	HIST1H46
ENSGALG00000043525	ENSGALG00000043525
ENSGALG00000038343	H2AFJ
ENSGALG00000037934	HIST1H2BF
ENSGALG00000031159	HIST1H110
ENSGALG00000034321	ENSGALG00000034321
ENSGALG00000041398	HIST1H4D
ENSGALG00000035244	HIST2H3D
ENSGALG00000037930	HIST1H3A
ENSGALG00000032933	HIST1H4I
ENSGALG00000042650	ENSGALG00000042650
ENSGALG00000034631	ENSGALG00000034631
ENSGALG00000037167	HIST1H103
ENSGALG00000042491	HIST4H4
ENSGALG00000039351	ENSGALG00000039351
ENSGALG00000029941	HIST1H2A4
ENSGALG00000030424	HIST2H3
ENSGALG00000046198	ENSGALG00000046198
ENSGALG00000035715	HIST1H2A4L1
ENSGALG00000025786	HIST1H46L6
ENSGALG00000031874	HIST1H101
ENSGALG00000040174	ENSGALG00000040174
ENSGALG00000028372	H2A-VI
ENSGALG00000027571	HIST1H2B7L2
ENSGALG00000027113	HIST1H2A4L2
ENSGALG00000042263	HIST1H2BO
ENSGALG00000037666	ENSGALG00000037666
ENSGALG00000011759	HIST1H111L
ENSGALG00000033587	ENSGALG00000033587
ENSGALG00000032645	HIST1H2A4L3
ENSGALG00000027064	HIST1H3H
ENSGALG00000040004	LOC100857439
ENSGALG00000027594	HIST1H2B5
ENSGALG00000027315	HIST1H2A4L4
ENSGALG00000011783	HIST1H111L
ENSGALG00000011784	APOLD1
ENSGALG00000011794	DDX47
ENSGALG00000011796	ENSGALG00000011796
ENSGALG00000011798	HEBP1
ENSGALG00000011799	ENSGALG00000011799
ENSGALG00000011800	FAM234B
ENSGALG00000011802	GSG1
ENSGALG00000011803	EMP1
ENSGALG00000026121	MIR6581
ENSGALG00000011809	GRIN2B
ENSGALG00000041348	ENSGALG00000041348
ENSGALG00000011814	ATF7IP
ENSGALG00000029583	PLBD1
ENSGALG00000011838	GUCY2C
ENSGALG00000011847	TTC26
ENSGALG00000011854	UBN2
ENSGALG00000011856	FMC1
ENSGALG00000036238	LUC7L2
ENSGALG00000011859	GBE
ENSGALG00000028016	HSPA12B
ENSGALG00000019325	LOC417973
ENSGALG00000017894	U12
ENSGALG00000011863	POLDIP3
ENSGALG00000011866	RRP7A
ENSGALG00000011867	SERHL2
ENSGALG00000023193	SOCS1L
ENSGALG00000011872	NFAM1
ENSGALG00000028511	ENSGALG00000028511
ENSGALG00000025388	MIR1581
ENSGALG00000011878	TCF20
ENSGALG00000011894	CYP2D6
ENSGALG00000035223	NDUFA6
ENSGALG00000011897	SMDT1
ENSGALG00000011898	FAM109B
ENSGALG00000011900	NAGA
ENSGALG00000011908	WBP2NL
ENSGALG00000011913	SEPT3
ENSGALG00000031189	ENSGALG00000031189
ENSGALG00000011914	CENPM
ENSGALG00000019322	TNFRSF13C
ENSGALG00000045762	SHISA8
ENSGALG00000041687	SREBF2
ENSGALG00000018239	MIR33A
ENSGALG00000011918	CCDC134
ENSGALG00000031186	MEI1
ENSGALG00000011931	SNU13
ENSGALG00000011932	XRCC6
ENSGALG00000011934	DESI1
ENSGALG00000038599	PMM1
ENSGALG00000030101	CSDC2
ENSGALG00000011947	POLR3H
ENSGALG00000011950	ACO2
ENSGALG00000011953	PHF5A
ENSGALG00000011957	TOB2
ENSGALG00000028594	ENSGALG00000028594
ENSGALG00000011958	TEF
ENSGALG00000011965	ZC3H7B
ENSGALG00000011966	RANGAP1
ENSGALG00000011970	CHADL
ENSGALG00000011976	L3MBTL2
ENSGALG00000011992	EP300
ENSGALG00000041607	ENSGALG00000041607
ENSGALG00000011993	RBX1
